指标,cluster_i,cluster_j,p_adj,significance,版本,分析人群
肛门括约肌静息压(mmHg),0,1,5.43523861242927e-38,***,attn_pooling-8,all
肛门括约肌静息压(mmHg),0,2,4.923665173131679e-08,***,attn_pooling-8,all
肛门括约肌静息压(mmHg),1,2,1.0035983637146249e-74,***,attn_pooling-8,all
最大缩榨压MSP（mmHg）,0,1,6.761732280031974e-26,***,attn_pooling-8,all
最大缩榨压MSP（mmHg）,0,2,9.994339651092034e-05,***,attn_pooling-8,all
最大缩榨压MSP（mmHg）,1,2,7.868831528800784e-47,***,attn_pooling-8,all
最大容量感觉阈值(ml),0,1,0.010276601663863901,*,attn_pooling-8,all
最大容量感觉阈值(ml),0,2,0.7306642417764981,ns,attn_pooling-8,all
最大容量感觉阈值(ml),1,2,0.019135610205712725,*,attn_pooling-8,all
肛门括约肌长度(cm),0,1,1.522230251610058e-13,***,attn_pooling-8,all
肛门括约肌长度(cm),0,2,0.06131364491176587,ns,attn_pooling-8,all
肛门括约肌长度(cm),1,2,3.144734426822887e-20,***,attn_pooling-8,all
排便时直肠压力(mmHg),0,1,7.258886091994887e-05,***,attn_pooling-8,all
排便时直肠压力(mmHg),0,2,0.016234421612258087,*,attn_pooling-8,all
排便时直肠压力(mmHg),1,2,2.1754657094746375e-10,***,attn_pooling-8,all
排便窘迫感阈值(ml),0,1,0.003258736825330572,**,attn_pooling-8,all
排便窘迫感阈值(ml),0,2,0.2637715906797967,ns,attn_pooling-8,all
排便窘迫感阈值(ml),1,2,0.061985532312577946,ns,attn_pooling-8,all
