指标,cluster_i,cluster_j,p_adj,significance,版本,分析人群
肛门括约肌静息压(mmHg),0,1,4.264146569347804e-33,***,attn_pooling-8,stable
肛门括约肌静息压(mmHg),0,2,1.4893579068723996e-09,***,attn_pooling-8,stable
肛门括约肌静息压(mmHg),1,2,3.1432568531623995e-74,***,attn_pooling-8,stable
最大缩榨压MSP（mmHg）,0,1,1.9694749199626894e-23,***,attn_pooling-8,stable
最大缩榨压MSP（mmHg）,0,2,9.077190368951825e-06,***,attn_pooling-8,stable
最大缩榨压MSP（mmHg）,1,2,4.499140450915239e-48,***,attn_pooling-8,stable
最大容量感觉阈值(ml),0,1,0.013763538986114193,*,attn_pooling-8,stable
最大容量感觉阈值(ml),0,2,0.6502563191349449,ns,attn_pooling-8,stable
最大容量感觉阈值(ml),1,2,0.030807336343445298,*,attn_pooling-8,stable
肛门括约肌长度(cm),0,1,5.0026948638063514e-11,***,attn_pooling-8,stable
肛门括约肌长度(cm),0,2,0.015270599648007978,*,attn_pooling-8,stable
肛门括约肌长度(cm),1,2,1.0510637616214594e-19,***,attn_pooling-8,stable
排便时直肠压力(mmHg),0,1,0.00047073985695933896,***,attn_pooling-8,stable
排便时直肠压力(mmHg),0,2,0.010376636123826222,*,attn_pooling-8,stable
排便时直肠压力(mmHg),1,2,8.516415574232738e-10,***,attn_pooling-8,stable
排便窘迫感阈值(ml),0,1,0.002932793860728117,**,attn_pooling-8,stable
排便窘迫感阈值(ml),0,2,0.21515227934485548,ns,attn_pooling-8,stable
排便窘迫感阈值(ml),1,2,0.07288551276536126,ns,attn_pooling-8,stable
