指标,对比,p_adj,显著性,版本,分析人群
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M2_新公平_Attn_topk6,all
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M2_新公平_Attn_topk6,all
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M2_新公平_Attn_topk6,all
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M2_新公平_Attn_topk6,all
最大缩榨压MSP（mmHg）,0 vs 2,0.0,***,M2_新公平_Attn_topk6,all
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M2_新公平_Attn_topk6,all
肛门括约肌长度(cm),0 vs 1,0.000871,***,M2_新公平_Attn_topk6,all
肛门括约肌长度(cm),0 vs 2,0.0,***,M2_新公平_Attn_topk6,all
肛门括约肌长度(cm),1 vs 2,0.0,***,M2_新公平_Attn_topk6,all
缩肛持续时间(s),0 vs 1,0.240706,ns,M2_新公平_Attn_topk6,all
缩肛持续时间(s),0 vs 2,0.016815,*,M2_新公平_Attn_topk6,all
缩肛持续时间(s),1 vs 2,0.240706,ns,M2_新公平_Attn_topk6,all
排便时直肠压力(mmHg),0 vs 1,0.00211,**,M2_新公平_Attn_topk6,all
排便时直肠压力(mmHg),0 vs 2,0.001971,**,M2_新公平_Attn_topk6,all
排便时直肠压力(mmHg),1 vs 2,0.0,***,M2_新公平_Attn_topk6,all
最大容量感觉阈值(ml),0 vs 1,0.932586,ns,M2_新公平_Attn_topk6,all
最大容量感觉阈值(ml),0 vs 2,0.028889,*,M2_新公平_Attn_topk6,all
最大容量感觉阈值(ml),1 vs 2,0.024564,*,M2_新公平_Attn_topk6,all
初始感觉阈值(ml),0 vs 1,0.080413,ns,M2_新公平_Attn_topk6,all
初始感觉阈值(ml),0 vs 2,0.205493,ns,M2_新公平_Attn_topk6,all
初始感觉阈值(ml),1 vs 2,0.620816,ns,M2_新公平_Attn_topk6,all
初始便意阈值(ml),0 vs 1,1.0,ns,M2_新公平_Attn_topk6,all
初始便意阈值(ml),0 vs 2,1.0,ns,M2_新公平_Attn_topk6,all
初始便意阈值(ml),1 vs 2,1.0,ns,M2_新公平_Attn_topk6,all
排便窘迫感阈值(ml),0 vs 1,0.531296,ns,M2_新公平_Attn_topk6,all
排便窘迫感阈值(ml),0 vs 2,0.0121,*,M2_新公平_Attn_topk6,all
排便窘迫感阈值(ml),1 vs 2,0.034864,*,M2_新公平_Attn_topk6,all
RAIR诱发最小容积(ml),0 vs 1,0.942201,ns,M2_新公平_Attn_topk6,all
RAIR诱发最小容积(ml),0 vs 2,0.942201,ns,M2_新公平_Attn_topk6,all
RAIR诱发最小容积(ml),1 vs 2,0.942201,ns,M2_新公平_Attn_topk6,all
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M2_新公平_Attn_topk6,stable
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M2_新公平_Attn_topk6,stable
最大缩榨压MSP（mmHg）,0 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
肛门括约肌长度(cm),0 vs 1,0.0011,**,M2_新公平_Attn_topk6,stable
肛门括约肌长度(cm),0 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
肛门括约肌长度(cm),1 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
缩肛持续时间(s),0 vs 1,0.244437,ns,M2_新公平_Attn_topk6,stable
缩肛持续时间(s),0 vs 2,0.017772,*,M2_新公平_Attn_topk6,stable
缩肛持续时间(s),1 vs 2,0.244437,ns,M2_新公平_Attn_topk6,stable
排便时直肠压力(mmHg),0 vs 1,0.002804,**,M2_新公平_Attn_topk6,stable
排便时直肠压力(mmHg),0 vs 2,0.002804,**,M2_新公平_Attn_topk6,stable
排便时直肠压力(mmHg),1 vs 2,0.0,***,M2_新公平_Attn_topk6,stable
最大容量感觉阈值(ml),0 vs 1,0.961469,ns,M2_新公平_Attn_topk6,stable
最大容量感觉阈值(ml),0 vs 2,0.024477,*,M2_新公平_Attn_topk6,stable
最大容量感觉阈值(ml),1 vs 2,0.024477,*,M2_新公平_Attn_topk6,stable
初始感觉阈值(ml),0 vs 1,0.083723,ns,M2_新公平_Attn_topk6,stable
初始感觉阈值(ml),0 vs 2,0.210991,ns,M2_新公平_Attn_topk6,stable
初始感觉阈值(ml),1 vs 2,0.620432,ns,M2_新公平_Attn_topk6,stable
初始便意阈值(ml),0 vs 1,0.840665,ns,M2_新公平_Attn_topk6,stable
初始便意阈值(ml),0 vs 2,0.840665,ns,M2_新公平_Attn_topk6,stable
初始便意阈值(ml),1 vs 2,0.840665,ns,M2_新公平_Attn_topk6,stable
排便窘迫感阈值(ml),0 vs 1,0.468086,ns,M2_新公平_Attn_topk6,stable
排便窘迫感阈值(ml),0 vs 2,0.009096,**,M2_新公平_Attn_topk6,stable
排便窘迫感阈值(ml),1 vs 2,0.03462,*,M2_新公平_Attn_topk6,stable
RAIR诱发最小容积(ml),0 vs 1,0.947234,ns,M2_新公平_Attn_topk6,stable
RAIR诱发最小容积(ml),0 vs 2,0.947234,ns,M2_新公平_Attn_topk6,stable
RAIR诱发最小容积(ml),1 vs 2,0.947234,ns,M2_新公平_Attn_topk6,stable
