指标,对比,p_adj,显著性,版本
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M3_新公平_Mean_all
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M3_新公平_Mean_all
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M3_新公平_Mean_all
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M3_新公平_Mean_all
最大缩榨压MSP（mmHg）,0 vs 2,0.0,***,M3_新公平_Mean_all
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M3_新公平_Mean_all
肛门括约肌长度(cm),0 vs 1,0.0,***,M3_新公平_Mean_all
肛门括约肌长度(cm),0 vs 2,0.0,***,M3_新公平_Mean_all
肛门括约肌长度(cm),1 vs 2,0.000939,***,M3_新公平_Mean_all
缩肛持续时间(s),0 vs 1,0.208416,ns,M3_新公平_Mean_all
缩肛持续时间(s),0 vs 2,0.010944,*,M3_新公平_Mean_all
缩肛持续时间(s),1 vs 2,0.149743,ns,M3_新公平_Mean_all
排便时直肠压力(mmHg),0 vs 1,0.0,***,M3_新公平_Mean_all
排便时直肠压力(mmHg),0 vs 2,0.002762,**,M3_新公平_Mean_all
排便时直肠压力(mmHg),1 vs 2,0.001525,**,M3_新公平_Mean_all
最大容量感觉阈值(ml),0 vs 1,0.0287,*,M3_新公平_Mean_all
最大容量感觉阈值(ml),0 vs 2,0.0287,*,M3_新公平_Mean_all
最大容量感觉阈值(ml),1 vs 2,0.87209,ns,M3_新公平_Mean_all
初始感觉阈值(ml),0 vs 1,0.670891,ns,M3_新公平_Mean_all
初始感觉阈值(ml),0 vs 2,0.184215,ns,M3_新公平_Mean_all
初始感觉阈值(ml),1 vs 2,0.085077,ns,M3_新公平_Mean_all
初始便意阈值(ml),0 vs 1,0.764732,ns,M3_新公平_Mean_all
初始便意阈值(ml),0 vs 2,0.658985,ns,M3_新公平_Mean_all
初始便意阈值(ml),1 vs 2,0.658985,ns,M3_新公平_Mean_all
排便窘迫感阈值(ml),0 vs 1,0.044928,*,M3_新公平_Mean_all
排便窘迫感阈值(ml),0 vs 2,0.007375,**,M3_新公平_Mean_all
排便窘迫感阈值(ml),1 vs 2,0.374748,ns,M3_新公平_Mean_all
RAIR诱发最小容积(ml),0 vs 1,1.0,ns,M3_新公平_Mean_all
RAIR诱发最小容积(ml),0 vs 2,1.0,ns,M3_新公平_Mean_all
RAIR诱发最小容积(ml),1 vs 2,1.0,ns,M3_新公平_Mean_all
