指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本
肛门括约肌静息压(mmHg),1066,358.7058,1.282387538494498e-78,0.336813,1.282387538494498e-77,***,***,True,M3_新公平_Mean_all
最大缩榨压MSP（mmHg）,1066,224.4193,1.85342920658181e-49,0.210722,1.668086285923629e-48,***,***,True,M3_新公平_Mean_all
肛门括约肌长度(cm),1066,98.1626,4.833506340459778e-22,0.092171,3.866805072367822e-21,***,***,True,M3_新公平_Mean_all
缩肛持续时间(s),1066,8.5419,0.013968669066326317,0.008021,0.06427674751307,*,ns,False,M3_新公平_Mean_all
排便时直肠压力(mmHg),1066,42.5715,5.697955820239388e-10,0.039973,3.9885690741675715e-09,***,***,True,M3_新公平_Mean_all
最大容量感觉阈值(ml),1051,8.708,0.012855349502614,0.008293,0.06427674751307,*,ns,False,M3_新公平_Mean_all
初始感觉阈值(ml),1049,5.2048,0.07409638221780289,0.004966,0.22228914665340865,ns,ns,False,M3_新公平_Mean_all
初始便意阈值(ml),1056,1.6731,0.4332061140243689,0.001586,0.8664122280487379,ns,ns,False,M3_新公平_Mean_all
排便窘迫感阈值(ml),1056,9.8315,0.007330361410308154,0.009319,0.04398216846184892,**,*,True,M3_新公平_Mean_all
RAIR诱发最小容积(ml),1066,1.1188,0.5715566580086223,0.001051,0.8664122280487379,ns,ns,False,M3_新公平_Mean_all
