指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本,分析人群
肛门括约肌静息压(mmHg),1067,358.6903,1.2924102224582116e-78,0.336482,1.2924102224582117e-77,***,***,True,M3_新公平_Mean_all,all
最大缩榨压MSP（mmHg）,1067,225.2393,1.2300161888876501e-49,0.211294,1.1070145699988851e-48,***,***,True,M3_新公平_Mean_all,all
肛门括约肌长度(cm),1067,98.8183,3.4824169739863486e-22,0.0927,2.785933579189079e-21,***,***,True,M3_新公平_Mean_all,all
缩肛持续时间(s),1067,8.5706,0.013769744674661575,0.00804,0.060963022002664756,*,ns,False,M3_新公平_Mean_all,all
排便时直肠压力(mmHg),1067,42.5587,5.734625634260343e-10,0.039924,4.01423794398224e-09,***,***,True,M3_新公平_Mean_all,all
最大容量感觉阈值(ml),1052,8.8139,0.012192604400532952,0.008386,0.060963022002664756,*,ns,False,M3_新公平_Mean_all,all
初始感觉阈值(ml),1050,5.2418,0.07273717137185211,0.004997,0.21821151411555634,ns,ns,False,M3_新公平_Mean_all,all
初始便意阈值(ml),1057,1.6745,0.43289472586208333,0.001586,0.8657894517241667,ns,ns,False,M3_新公平_Mean_all,all
排便窘迫感阈值(ml),1057,9.8813,0.007149844313103586,0.009357,0.042899065878621516,**,*,True,M3_新公平_Mean_all,all
RAIR诱发最小容积(ml),1067,1.0571,0.5894699074462326,0.000992,0.8657894517241667,ns,ns,False,M3_新公平_Mean_all,all
肛门括约肌静息压(mmHg),1066,358.7058,1.282387538494498e-78,0.336813,1.282387538494498e-77,***,***,True,M3_新公平_Mean_all,stable
最大缩榨压MSP（mmHg）,1066,224.4193,1.85342920658181e-49,0.210722,1.668086285923629e-48,***,***,True,M3_新公平_Mean_all,stable
肛门括约肌长度(cm),1066,98.1626,4.833506340459778e-22,0.092171,3.866805072367822e-21,***,***,True,M3_新公平_Mean_all,stable
缩肛持续时间(s),1066,8.5419,0.013968669066326317,0.008021,0.06427674751307,*,ns,False,M3_新公平_Mean_all,stable
排便时直肠压力(mmHg),1066,42.5715,5.697955820239388e-10,0.039973,3.9885690741675715e-09,***,***,True,M3_新公平_Mean_all,stable
最大容量感觉阈值(ml),1051,8.708,0.012855349502614,0.008293,0.06427674751307,*,ns,False,M3_新公平_Mean_all,stable
初始感觉阈值(ml),1049,5.2048,0.07409638221780289,0.004966,0.22228914665340865,ns,ns,False,M3_新公平_Mean_all,stable
初始便意阈值(ml),1056,1.6731,0.4332061140243689,0.001586,0.8664122280487379,ns,ns,False,M3_新公平_Mean_all,stable
排便窘迫感阈值(ml),1056,9.8315,0.007330361410308154,0.009319,0.04398216846184892,**,*,True,M3_新公平_Mean_all,stable
RAIR诱发最小容积(ml),1066,1.1188,0.5715566580086223,0.001051,0.8664122280487379,ns,ns,False,M3_新公平_Mean_all,stable
