指标,对比,p_adj,显著性,版本,分析人群
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M4_旧随机_Attn_topk4,all
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M4_旧随机_Attn_topk4,all
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M4_旧随机_Attn_topk4,all
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M4_旧随机_Attn_topk4,all
最大缩榨压MSP（mmHg）,0 vs 2,2.2e-05,***,M4_旧随机_Attn_topk4,all
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M4_旧随机_Attn_topk4,all
肛门括约肌长度(cm),0 vs 1,0.0,***,M4_旧随机_Attn_topk4,all
肛门括约肌长度(cm),0 vs 2,0.05818,ns,M4_旧随机_Attn_topk4,all
肛门括约肌长度(cm),1 vs 2,0.0,***,M4_旧随机_Attn_topk4,all
缩肛持续时间(s),0 vs 1,0.072293,ns,M4_旧随机_Attn_topk4,all
缩肛持续时间(s),0 vs 2,0.502476,ns,M4_旧随机_Attn_topk4,all
缩肛持续时间(s),1 vs 2,0.502476,ns,M4_旧随机_Attn_topk4,all
排便时直肠压力(mmHg),0 vs 1,0.000209,***,M4_旧随机_Attn_topk4,all
排便时直肠压力(mmHg),0 vs 2,0.007702,**,M4_旧随机_Attn_topk4,all
排便时直肠压力(mmHg),1 vs 2,0.0,***,M4_旧随机_Attn_topk4,all
最大容量感觉阈值(ml),0 vs 1,0.007566,**,M4_旧随机_Attn_topk4,all
最大容量感觉阈值(ml),0 vs 2,0.772504,ns,M4_旧随机_Attn_topk4,all
最大容量感觉阈值(ml),1 vs 2,0.011264,*,M4_旧随机_Attn_topk4,all
初始感觉阈值(ml),0 vs 1,0.192454,ns,M4_旧随机_Attn_topk4,all
初始感觉阈值(ml),0 vs 2,0.059879,ns,M4_旧随机_Attn_topk4,all
初始感觉阈值(ml),1 vs 2,0.527725,ns,M4_旧随机_Attn_topk4,all
初始便意阈值(ml),0 vs 1,0.67664,ns,M4_旧随机_Attn_topk4,all
初始便意阈值(ml),0 vs 2,0.67664,ns,M4_旧随机_Attn_topk4,all
初始便意阈值(ml),1 vs 2,0.806636,ns,M4_旧随机_Attn_topk4,all
排便窘迫感阈值(ml),0 vs 1,0.003739,**,M4_旧随机_Attn_topk4,all
排便窘迫感阈值(ml),0 vs 2,0.351319,ns,M4_旧随机_Attn_topk4,all
排便窘迫感阈值(ml),1 vs 2,0.039608,*,M4_旧随机_Attn_topk4,all
RAIR诱发最小容积(ml),0 vs 1,1.0,ns,M4_旧随机_Attn_topk4,all
RAIR诱发最小容积(ml),0 vs 2,1.0,ns,M4_旧随机_Attn_topk4,all
RAIR诱发最小容积(ml),1 vs 2,0.91474,ns,M4_旧随机_Attn_topk4,all
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M4_旧随机_Attn_topk4,stable
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M4_旧随机_Attn_topk4,stable
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M4_旧随机_Attn_topk4,stable
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M4_旧随机_Attn_topk4,stable
最大缩榨压MSP（mmHg）,0 vs 2,2e-06,***,M4_旧随机_Attn_topk4,stable
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M4_旧随机_Attn_topk4,stable
肛门括约肌长度(cm),0 vs 1,0.0,***,M4_旧随机_Attn_topk4,stable
肛门括约肌长度(cm),0 vs 2,0.014878,*,M4_旧随机_Attn_topk4,stable
肛门括约肌长度(cm),1 vs 2,0.0,***,M4_旧随机_Attn_topk4,stable
缩肛持续时间(s),0 vs 1,0.039505,*,M4_旧随机_Attn_topk4,stable
缩肛持续时间(s),0 vs 2,0.218084,ns,M4_旧随机_Attn_topk4,stable
