指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本,分析人群
肛门括约肌静息压(mmHg),1067,353.0798,2.1364432614850635e-77,0.331219,2.1364432614850635e-76,***,***,True,M4_旧随机_Attn_topk4,all
最大缩榨压MSP（mmHg）,1067,220.8431,1.1079637604170678e-48,0.20717,9.97167384375361e-48,***,***,True,M4_旧随机_Attn_topk4,all
肛门括约肌长度(cm),1067,96.8225,9.44620614224101e-22,0.090828,7.556964913792808e-21,***,***,True,M4_旧随机_Attn_topk4,all
缩肛持续时间(s),1067,5.0878,0.07855832611875695,0.004773,0.23567497835627083,ns,ns,False,M4_旧随机_Attn_topk4,all
排便时直肠压力(mmHg),1067,43.5522,3.489552476640827e-10,0.040856,2.4426867336485788e-09,***,***,True,M4_旧随机_Attn_topk4,all
最大容量感觉阈值(ml),1052,11.1602,0.0037721307341935157,0.010619,0.022632784405161095,**,*,True,M4_旧随机_Attn_topk4,all
初始感觉阈值(ml),1050,5.7463,0.056521319076821785,0.005478,0.22608527630728714,ns,ns,False,M4_旧随机_Attn_topk4,all
初始便意阈值(ml),1057,1.6618,0.4356500126534415,0.001574,0.871300025306883,ns,ns,False,M4_旧随机_Attn_topk4,all
排便窘迫感阈值(ml),1057,11.0413,0.00400325191669621,0.010456,0.022632784405161095,**,*,True,M4_旧随机_Attn_topk4,all
RAIR诱发最小容积(ml),1067,1.0531,0.5906497850256311,0.000988,0.871300025306883,ns,ns,False,M4_旧随机_Attn_topk4,all
肛门括约肌静息压(mmHg),961,355.2041,7.386054595000757e-78,0.370004,7.386054595000757e-77,***,***,True,M4_旧随机_Attn_topk4,stable
最大缩榨压MSP（mmHg）,961,220.4746,1.3321616964353535e-48,0.229661,1.198945526791818e-47,***,***,True,M4_旧随机_Attn_topk4,stable
肛门括约肌长度(cm),961,92.9493,6.551101371806078e-21,0.096822,5.2408810974448624e-20,***,***,True,M4_旧随机_Attn_topk4,stable
缩肛持续时间(s),961,6.2822,0.0432349405693104,0.006544,0.16843170271655136,*,ns,False,M4_旧随机_Attn_topk4,stable
排便时直肠压力(mmHg),961,40.7272,1.4328260556896858e-09,0.042424,1.00297823898278e-08,***,***,True,M4_旧随机_Attn_topk4,stable
最大容量感觉阈值(ml),946,8.8127,0.012199557530924127,0.009326,0.06099778765462063,*,ns,False,M4_旧随机_Attn_topk4,stable
初始感觉阈值(ml),946,6.335,0.04210792567913784,0.006704,0.16843170271655136,*,ns,False,M4_旧随机_Attn_topk4,stable
初始便意阈值(ml),951,1.2962,0.523039168749719,0.001364,0.8306558890226741,ns,ns,False,M4_旧随机_Attn_topk4,stable
排便窘迫感阈值(ml),951,9.3103,0.009512407840131482,0.0098,0.057074447040788893,**,ns,False,M4_旧随机_Attn_topk4,stable
RAIR诱发最小容积(ml),961,1.7574,0.41532794451133703,0.001831,0.8306558890226741,ns,ns,False,M4_旧随机_Attn_topk4,stable
