分析对象,Rome类别,指标,H统计量,p值,是否显著(p<0.05)
all,Dyssynergic,肛门括约肌静息压(mmHg),149.554,3.3476182510268836e-33,是
all,Dyssynergic,最大缩榨压MSP（mmHg）,103.848,2.815996129898971e-23,是
all,Dyssynergic,排便时直肠压力(mmHg),12.334,0.0020971538834651505,是
all,Dyssynergic,初始感觉阈值(ml),1.492,0.47420849559196976,否
all,Dyssynergic,最大容量感觉阈值(ml),2.478,0.2896546437291107,否
all,Poor_Propulsion,肛门括约肌静息压(mmHg),200.142,3.4654703795521217e-44,是
all,Poor_Propulsion,最大缩榨压MSP（mmHg）,111.37,6.552000989537202e-25,是
all,Poor_Propulsion,排便时直肠压力(mmHg),9.856,0.007239340542868576,是
all,Poor_Propulsion,初始感觉阈值(ml),3.938,0.1395963356820932,否
all,Poor_Propulsion,最大容量感觉阈值(ml),11.371,0.0033952099964826396,是
