指标,对比,p_adj,显著性,版本,分析人群
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M5_旧随机_Mean_mapp6,all
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M5_旧随机_Mean_mapp6,all
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M5_旧随机_Mean_mapp6,all
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M5_旧随机_Mean_mapp6,all
最大缩榨压MSP（mmHg）,0 vs 2,1e-06,***,M5_旧随机_Mean_mapp6,all
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M5_旧随机_Mean_mapp6,all
肛门括约肌长度(cm),0 vs 1,0.0,***,M5_旧随机_Mean_mapp6,all
肛门括约肌长度(cm),0 vs 2,0.003882,**,M5_旧随机_Mean_mapp6,all
肛门括约肌长度(cm),1 vs 2,0.0,***,M5_旧随机_Mean_mapp6,all
缩肛持续时间(s),0 vs 1,0.03996,*,M5_旧随机_Mean_mapp6,all
缩肛持续时间(s),0 vs 2,0.160143,ns,M5_旧随机_Mean_mapp6,all
缩肛持续时间(s),1 vs 2,0.46918,ns,M5_旧随机_Mean_mapp6,all
排便时直肠压力(mmHg),0 vs 1,0.000395,***,M5_旧随机_Mean_mapp6,all
排便时直肠压力(mmHg),0 vs 2,0.005423,**,M5_旧随机_Mean_mapp6,all
排便时直肠压力(mmHg),1 vs 2,0.0,***,M5_旧随机_Mean_mapp6,all
最大容量感觉阈值(ml),0 vs 1,0.007965,**,M5_旧随机_Mean_mapp6,all
最大容量感觉阈值(ml),0 vs 2,0.931211,ns,M5_旧随机_Mean_mapp6,all
最大容量感觉阈值(ml),1 vs 2,0.007965,**,M5_旧随机_Mean_mapp6,all
初始感觉阈值(ml),0 vs 1,0.273304,ns,M5_旧随机_Mean_mapp6,all
初始感觉阈值(ml),0 vs 2,0.133628,ns,M5_旧随机_Mean_mapp6,all
初始感觉阈值(ml),1 vs 2,0.608708,ns,M5_旧随机_Mean_mapp6,all
初始便意阈值(ml),0 vs 1,0.513987,ns,M5_旧随机_Mean_mapp6,all
初始便意阈值(ml),0 vs 2,0.652677,ns,M5_旧随机_Mean_mapp6,all
初始便意阈值(ml),1 vs 2,0.695936,ns,M5_旧随机_Mean_mapp6,all
排便窘迫感阈值(ml),0 vs 1,0.005887,**,M5_旧随机_Mean_mapp6,all
排便窘迫感阈值(ml),0 vs 2,0.513046,ns,M5_旧随机_Mean_mapp6,all
排便窘迫感阈值(ml),1 vs 2,0.029455,*,M5_旧随机_Mean_mapp6,all
RAIR诱发最小容积(ml),0 vs 1,0.966235,ns,M5_旧随机_Mean_mapp6,all
RAIR诱发最小容积(ml),0 vs 2,0.966235,ns,M5_旧随机_Mean_mapp6,all
RAIR诱发最小容积(ml),1 vs 2,0.748811,ns,M5_旧随机_Mean_mapp6,all
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M5_旧随机_Mean_mapp6,stable
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M5_旧随机_Mean_mapp6,stable
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M5_旧随机_Mean_mapp6,stable
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M5_旧随机_Mean_mapp6,stable
