指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本
肛门括约肌静息压(mmHg),971,349.7082,1.1529808545394215e-76,0.360524,1.1529808545394215e-75,***,***,True,M5_旧随机_Mean_mapp6
最大缩榨压MSP（mmHg）,971,226.3201,7.164907257393832e-50,0.23332,6.448416531654449e-49,***,***,True,M5_旧随机_Mean_mapp6
肛门括约肌长度(cm),971,94.3206,3.3001942863483613e-21,0.097238,2.640155429078689e-20,***,***,True,M5_旧随机_Mean_mapp6
缩肛持续时间(s),971,6.3896,0.040973928126436986,0.006587,0.16389571250574794,*,ns,False,M5_旧随机_Mean_mapp6
排便时直肠压力(mmHg),971,41.1247,1.1745979935237452e-09,0.042397,8.222185954666216e-09,***,***,True,M5_旧随机_Mean_mapp6
最大容量感觉阈值(ml),956,9.6885,0.007873700128231608,0.010145,0.039368500641158044,**,*,True,M5_旧随机_Mean_mapp6
初始感觉阈值(ml),956,4.9535,0.08401784359787495,0.005187,0.25205353079362486,ns,ns,False,M5_旧随机_Mean_mapp6
初始便意阈值(ml),961,2.1894,0.3346415763886962,0.002281,0.6692831527773924,ns,ns,False,M5_旧随机_Mean_mapp6
排便窘迫感阈值(ml),961,10.2505,0.0059448261507394524,0.010678,0.035668956904436715,**,*,True,M5_旧随机_Mean_mapp6
RAIR诱发最小容积(ml),971,1.4456,0.4853860461799705,0.00149,0.6692831527773924,ns,ns,False,M5_旧随机_Mean_mapp6
