指标,对比,p_adj,显著性,版本
肛门括约肌静息压(mmHg),C0-C1,0.0,***,M5_旧随机_Mean_topk6
肛门括约肌静息压(mmHg),C0-C2,0.0,***,M5_旧随机_Mean_topk6
肛门括约肌静息压(mmHg),C1-C2,0.0,***,M5_旧随机_Mean_topk6
最大缩榨压MSP（mmHg）,C0-C1,0.0,***,M5_旧随机_Mean_topk6
最大缩榨压MSP（mmHg）,C0-C2,3e-06,***,M5_旧随机_Mean_topk6
最大缩榨压MSP（mmHg）,C1-C2,0.0,***,M5_旧随机_Mean_topk6
最大容量感觉阈值(ml),C0-C1,0.019047,*,M5_旧随机_Mean_topk6
最大容量感觉阈值(ml),C0-C2,0.864292,ns,M5_旧随机_Mean_topk6
最大容量感觉阈值(ml),C1-C2,0.019047,*,M5_旧随机_Mean_topk6
肛门括约肌长度(cm),C0-C1,0.0,***,M5_旧随机_Mean_topk6
肛门括约肌长度(cm),C0-C2,0.004481,**,M5_旧随机_Mean_topk6
肛门括约肌长度(cm),C1-C2,0.0,***,M5_旧随机_Mean_topk6
排便时直肠压力(mmHg),C0-C1,0.00055,***,M5_旧随机_Mean_topk6
排便时直肠压力(mmHg),C0-C2,0.010066,*,M5_旧随机_Mean_topk6
排便时直肠压力(mmHg),C1-C2,0.0,***,M5_旧随机_Mean_topk6
排便窘迫感阈值(ml),C0-C1,0.005282,**,M5_旧随机_Mean_topk6
排便窘迫感阈值(ml),C0-C2,0.290379,ns,M5_旧随机_Mean_topk6
排便窘迫感阈值(ml),C1-C2,0.063362,ns,M5_旧随机_Mean_topk6
