指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本
肛门括约肌静息压(mmHg),971,349.7082,0.0,0.359203,0.0,***,***,True,M5_旧随机_Mean_topk6
最大缩榨压MSP（mmHg）,971,226.3201,0.0,0.231736,0.0,***,***,True,M5_旧随机_Mean_topk6
最大容量感觉阈值(ml),956,9.6885,0.007874,0.008068,0.03937,**,*,True,M5_旧随机_Mean_topk6
肛门括约肌长度(cm),971,94.3206,0.0,0.095373,0.0,***,***,True,M5_旧随机_Mean_topk6
缩肛持续时间(s),971,6.3896,0.040974,0.004535,0.163896,*,ns,False,M5_旧随机_Mean_topk6
排便时直肠压力(mmHg),971,41.1247,0.0,0.040418,0.0,***,***,True,M5_旧随机_Mean_topk6
RAIR诱发最小容积(ml),971,1.4456,0.485386,0.0,0.669284,ns,ns,False,M5_旧随机_Mean_topk6
初始感觉阈值(ml),956,4.9535,0.084018,0.003099,0.252054,ns,ns,False,M5_旧随机_Mean_topk6
初始便意阈值(ml),961,2.1894,0.334642,0.000198,0.669284,ns,ns,False,M5_旧随机_Mean_topk6
排便窘迫感阈值(ml),961,10.2505,0.005945,0.008612,0.03567,**,*,True,M5_旧随机_Mean_topk6
