版本,Cluster,差异化候选命名,严重程度等级,显著偏离项数量,共同异常摘要,差异化异常摘要
M1_Attn_topk4,0,感觉敏感型,中度,8,短肛管、低静息张力、容量耐受下降、窘迫感提前,初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.7%，临床严重度=0.783，为同版本内该指标最突出Cluster
M1_Attn_topk4,1,低静息张力 + 短肛管 + 收缩不足型,重度,12,短肛管、低静息张力、窘迫感提前,最大缩榨压降低，提示主动收缩能力不足（M）；中位数=86.75，参考中心=130.5，异常比例=62.5%，临床严重度=0.960，为同版本内该指标最突出Cluster；静息压降低，提示基础括约肌张力不足（M）；中位数=37.3，参考中心=87.0，异常比例=85.2%，临床严重度=1.423，为同版本内该指标最突出Cluster；肛门括约肌长度偏短（M）；中位数=1.7，参考中心=4.65，异常比例=83.0%，临床严重度=1.464，为同版本内该指标最突出Cluster；静息压降低，提示基础括约肌张力不足（F）；中位数=35.6，参考中心=74.0，异常比例=70.0%，临床严重度=1.219，为同版本内该指标最突出Cluster；肛门括约肌长度偏短（F）；中位数=1.5，参考中心=3.9，异常比例=82.4%，临床严重度=1.439，为同版本内该指标最突出Cluster
M1_Attn_topk4,2,RAIR低诱发阈值型,重度,12,短肛管、窘迫感提前、容量耐受下降、便意提前,排便时直肠压力偏高；中位数=47.35，参考中心=45.0，异常比例=45.3%，临床严重度=0.505，为同版本内该指标最突出Cluster；最大缩榨压升高，提示主动收缩压力偏高（M）；中位数=138.95，参考中心=130.5，异常比例=36.0%，临床严重度=0.425，为同版本内该指标最突出Cluster；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=6.7%，临床严重度=0.734，为同版本内该指标最突出Cluster；最大缩榨压升高，提示主动收缩压力偏高（F）；中位数=107.7，参考中心=100.5，异常比例=20.6%，临床严重度=0.278，为同版本内该指标最突出Cluster
M2_Attn_topk6,0,感觉敏感型,中度,8,短肛管、低静息张力、容量耐受下降、窘迫感提前,初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.8%，临床严重度=0.784，为同版本内该指标最突出Cluster
M2_Attn_topk6,1,RAIR低诱发阈值型,重度,12,短肛管、窘迫感提前、容量耐受下降、便意提前,排便时直肠压力偏高；中位数=47.4，参考中心=45.0，异常比例=45.4%，临床严重度=0.507，为同版本内该指标最突出Cluster；最大缩榨压升高，提示主动收缩压力偏高（M）；中位数=138.95，参考中心=130.5，异常比例=35.9%，临床严重度=0.424，为同版本内该指标最突出Cluster；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=6.7%，临床严重度=0.734，为同版本内该指标最突出Cluster；最大缩榨压升高，提示主动收缩压力偏高（F）；中位数=107.6，参考中心=100.5，异常比例=20.7%，临床严重度=0.278，为同版本内该指标最突出Cluster
M2_Attn_topk6,2,低静息张力 + 短肛管 + 收缩不足 + 推进不足型,重度,12,短肛管、低静息张力、窘迫感提前,最大缩榨压降低，提示主动收缩能力不足（M）；中位数=85.5，参考中心=130.5，异常比例=63.5%，临床严重度=0.980，为同版本内该指标最突出Cluster；静息压降低，提示基础括约肌张力不足（M）；中位数=37.2，参考中心=87.0，异常比例=85.9%，临床严重度=1.431，为同版本内该指标最突出Cluster；肛门括约肌长度偏短（M）；中位数=1.6，参考中心=4.65，异常比例=82.4%，临床严重度=1.480，为同版本内该指标最突出Cluster；排便时直肠压力不足，提示排便推进力不足；中位数=37.0，参考中心=45.0，异常比例=66.5%，临床严重度=0.843，为同版本内该指标最突出Cluster；静息压降低，提示基础括约肌张力不足（F）；中位数=35.4，参考中心=74.0，异常比例=70.6%，临床严重度=1.228，为同版本内该指标最突出Cluster
M3_Mean_topk0,0,低静息张力 + 收缩不足 + 推进不足型,重度,12,短肛管、低静息张力、窘迫感提前,最大缩榨压降低，提示主动收缩能力不足（M）；中位数=86.75，参考中心=130.5，异常比例=62.8%，临床严重度=0.963，为同版本内该指标最突出Cluster；静息压降低，提示基础括约肌张力不足（M）；中位数=37.5，参考中心=87.0，异常比例=84.9%，临床严重度=1.418，为同版本内该指标最突出Cluster；静息压降低，提示基础括约肌张力不足（F）；中位数=35.4，参考中心=74.0，异常比例=70.9%，临床严重度=1.231，为同版本内该指标最突出Cluster；排便时直肠压力不足，提示排便推进力不足；中位数=37.25，参考中心=45.0，异常比例=65.9%，临床严重度=0.831，为同版本内该指标最突出Cluster；肛门括约肌长度偏短（F）；中位数=1.5，参考中心=3.9，异常比例=82.2%，临床严重度=1.437，为同版本内该指标最突出Cluster
M3_Mean_topk0,1,RAIR低诱发阈值型,重度,12,短肛管、窘迫感提前、容量耐受下降、便意提前,排便时直肠压力偏高；中位数=48.0，参考中心=45.0，异常比例=44.6%，临床严重度=0.513，为同版本内该指标最突出Cluster；最大缩榨压升高，提示主动收缩压力偏高（M）；中位数=138.8，参考中心=130.5，异常比例=36.2%，临床严重度=0.426，为同版本内该指标最突出Cluster；最大缩榨压升高，提示主动收缩压力偏高（F）；中位数=107.7，参考中心=100.5，异常比例=21.8%，临床严重度=0.290，为同版本内该指标最突出Cluster；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=6.5%，临床严重度=0.732，为同版本内该指标最突出Cluster
M3_Mean_topk0,2,感觉敏感型,中度,8,短肛管、低静息张力、窘迫感提前、容量耐受下降,初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.8%，临床严重度=0.784，为同版本内该指标最突出Cluster
M4_旧Attn_topk4,0,感觉敏感型,轻-中度,8,短肛管、低静息张力、容量耐受下降、窘迫感提前,初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.3%，临床严重度=0.779，为同版本内该指标最突出Cluster
