版本,Cluster,候选表型命名,显著偏离项数量,Top画像指标数,画像摘要
M1_Attn_topk4,0,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,8,6,肛门括约肌长度偏短（M）；中位数=2.45，参考中心=4.65，异常比例=69.7%；肛门括约肌长度偏短（F）；中位数=2.1，参考中心=3.9，异常比例=69.2%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=5.9%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.7%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=40.9%；静息压降低，提示基础括约肌张力不足（M）；中位数=58.4，参考中心=87.0，异常比例=53.5%
M1_Attn_topk4,1,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,12,6,肛门括约肌长度偏短（M）；中位数=1.7，参考中心=4.65，异常比例=83.0%；肛门括约肌长度偏短（F）；中位数=1.5，参考中心=3.9，异常比例=82.4%；静息压降低，提示基础括约肌张力不足（M）；中位数=37.3，参考中心=87.0，异常比例=85.2%；静息压降低，提示基础括约肌张力不足（F）；中位数=35.6，参考中心=74.0，异常比例=70.0%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=90.0，参考中心=167.0，异常比例=53.0%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=4.4%
M1_Attn_topk4,2,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,12,6,RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=6.7%；肛门括约肌长度偏短（F）；中位数=2.35，参考中心=3.9，异常比例=59.6%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=22.6%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=46.8%；最大容量感觉阈值降低，提示容量耐受下降；中位数=160.0，参考中心=232.0，异常比例=51.0%；肛门括约肌长度偏短（M）；中位数=3.3，参考中心=4.65，异常比例=53.8%
M2_Attn_topk6,0,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,8,6,肛门括约肌长度偏短（M）；中位数=2.4，参考中心=4.65，异常比例=69.7%；肛门括约肌长度偏短（F）；中位数=2.1，参考中心=3.9，异常比例=69.7%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=5.8%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.8%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=41.3%；静息压降低，提示基础括约肌张力不足（M）；中位数=58.3，参考中心=87.0，异常比例=53.8%
M2_Attn_topk6,1,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,12,6,肛门括约肌长度偏短（F）；中位数=2.3，参考中心=3.9，异常比例=59.4%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=6.7%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=47.4%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=22.5%；最大容量感觉阈值降低，提示容量耐受下降；中位数=160.0，参考中心=232.0，异常比例=51.4%；肛门括约肌长度偏短（M）；中位数=3.3，参考中心=4.65，异常比例=53.8%
M2_Attn_topk6,2,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,12,6,肛门括约肌长度偏短（M）；中位数=1.6，参考中心=4.65，异常比例=82.4%；肛门括约肌长度偏短（F）；中位数=1.5，参考中心=3.9，异常比例=82.0%；静息压降低，提示基础括约肌张力不足（M）；中位数=37.2，参考中心=87.0，异常比例=85.9%；静息压降低，提示基础括约肌张力不足（F）；中位数=35.4，参考中心=74.0，异常比例=70.6%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=90.0，参考中心=167.0，异常比例=51.9%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=4.5%
M3_Mean_topk0,0,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,12,6,肛门括约肌长度偏短（M）；中位数=1.7，参考中心=4.65，异常比例=81.4%；肛门括约肌长度偏短（F）；中位数=1.5，参考中心=3.9，异常比例=82.2%；静息压降低，提示基础括约肌张力不足（M）；中位数=37.5，参考中心=87.0，异常比例=84.9%；静息压降低，提示基础括约肌张力不足（F）；中位数=35.4，参考中心=74.0，异常比例=70.9%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=90.0，参考中心=167.0，异常比例=52.0%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=4.8%
M3_Mean_topk0,1,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,12,6,肛门括约肌长度偏短（F）；中位数=2.3，参考中心=3.9，异常比例=59.7%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=6.5%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=47.6%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=22.5%；最大容量感觉阈值降低，提示容量耐受下降；中位数=150.0，参考中心=232.0，异常比例=51.9%；肛门括约肌长度偏短（M）；中位数=3.2，参考中心=4.65，异常比例=54.6%
M3_Mean_topk0,2,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,8,6,肛门括约肌长度偏短（M）；中位数=2.4，参考中心=4.65，异常比例=70.1%；肛门括约肌长度偏短（F）；中位数=2.1，参考中心=3.9，异常比例=69.5%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=5.7%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.8%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=41.2%；静息压降低，提示基础括约肌张力不足（M）；中位数=58.15，参考中心=87.0，异常比例=53.5%
M4_旧Attn_topk4,0,低感觉阈值 + 低静息张力/短肛管 + RAIR低诱发阈值型,8,6,肛门括约肌长度偏短（F）；中位数=2.1，参考中心=3.9，异常比例=68.2%；肛门括约肌长度偏短（M）；中位数=2.6，参考中心=4.65，异常比例=67.6%；RAIR诱发容积偏低，提示反射诱发阈值降低；中位数=10.0，参考中心=30.0，异常比例=5.8%；初始便意阈值降低，提示便意提前出现；中位数=60.0，参考中心=126.5，异常比例=25.3%；排便窘迫感阈值降低，提示窘迫感提前出现；中位数=100.0，参考中心=167.0，异常比例=39.3%；静息压降低，提示基础括约肌张力不足（M）；中位数=59.2，参考中心=87.0，异常比例=50.4%
