版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著,显著_bool,effect_score,出现Cluster数,版本总Cluster数,Cluster覆盖比例,是否共同异常,median_effect,directional_effect,clinical_severity,同指标最高严重度,同指标第二严重度,是否同指标最突出Cluster,差异化领先幅度,差异化分数,可用于差异化命名
M1_Attn_topk4,0,324,142,182,肛门括约肌长度(cm),M,142,2.6,2.45,3.4,5.9,4.65,低,0.697,1.8716083292644133e-23,2.0587691621908546e-21,***,True,True,2.643236559139785,3,3,1.0,True,0.4731182795698925,-0.4731182795698925,1.1701182795698926,1.4644086021505376,1.1701182795698926,False,0.0,1.3551774193548387,False
M1_Attn_topk4,0,324,142,182,肛门括约肌长度(cm),F,182,2.28,2.1,2.7,5.1,3.9,低,0.692,5.226565530081043e-29,6.428675601999683e-27,***,True,True,2.615076923076923,3,3,1.0,True,0.4615384615384615,-0.4615384615384615,1.1535384615384614,1.4393846153846153,1.1535384615384614,False,0.0,1.330307692307692,False
M1_Attn_topk4,0,324,142,182,RAIR诱发最小容积(ml),ALL,324,17.48,10.0,0.0,30.0,30.0,低,0.059,9.316860241409704e-38,1.2111918313832615e-35,***,True,True,2.392333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7256666666666667,0.7336666666666667,0.7256666666666667,False,0.0,0.6885,False
M1_Attn_topk4,0,324,142,182,初始便意阈值(ml),ALL,323,68.13,60.0,57.0,196.0,126.5,低,0.257,9.259027732702813e-53,1.6666249918865062e-50,***,True,True,2.308383399209486,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.782691699604743,0.782691699604743,0.755691699604743,True,0.027000000000000024,1.6010375494071147,True
M1_Attn_topk4,0,324,142,182,排便窘迫感阈值(ml),ALL,323,112.26,100.0,93.0,241.0,167.0,低,0.409,1.892627875979907e-45,3.028204601567851e-43,***,True,True,2.2113952095808385,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8101976047904191,0.9910778443113772,0.8691976047904192,False,0.0,0.8152964071856287,False
M1_Attn_topk4,0,324,142,182,肛门括约肌静息压(mmHg),M,142,59.62,58.4,59.0,115.0,87.0,低,0.535,7.044403147114698e-22,7.114847178585846e-20,***,True,True,2.192471264367816,3,3,1.0,True,0.32873563218390806,-0.32873563218390806,0.863735632183908,1.423264367816092,0.863735632183908,False,0.0,0.895603448275862,False
M1_Attn_topk4,1,339,88,250,肛门括约肌长度(cm),M,88,2.04,1.7,3.4,5.9,4.65,低,0.83,6.668894360030575e-16,6.002004924027518e-14,***,True,True,3.098817204301075,3,3,1.0,True,0.6344086021505376,-0.6344086021505376,1.4644086021505376,1.4644086021505376,1.1701182795698926,True,0.294290322580645,2.890903225806451,True
M1_Attn_topk4,1,339,88,250,肛门括约肌长度(cm),F,250,1.79,1.5,2.7,5.1,3.9,低,0.824,8.745546110501089e-42,1.2681041860226582e-39,***,True,True,3.0547692307692307,3,3,1.0,True,0.6153846153846154,-0.6153846153846154,1.4393846153846153,1.4393846153846153,1.1535384615384614,True,0.28584615384615386,2.844923076923077,True
M1_Attn_topk4,1,339,88,250,肛门括约肌静息压(mmHg),M,88,37.47,37.3,59.0,115.0,87.0,低,0.852,3.7309265750350144e-16,3.432452449032213e-14,***,True,True,2.994528735632184,3,3,1.0,True,0.571264367816092,-0.571264367816092,1.423264367816092,1.423264367816092,0.863735632183908,True,0.5595287356321839,3.0944252873563216,True
M1_Attn_topk4,1,339,88,250,肛门括约肌静息压(mmHg),F,250,37.43,35.6,47.0,101.0,74.0,低,0.7,1.1131613509207231e-41,1.6029523453258415e-39,***,True,True,2.737837837837838,3,3,1.0,True,0.518918918918919,-0.518918918918919,1.218918918918919,1.218918918918919,0.6014054054054054,True,0.6175135135135135,2.8458918918918914,True
M1_Attn_topk4,1,339,88,250,排便窘迫感阈值(ml),ALL,332,104.0,90.0,93.0,241.0,167.0,低,0.53,2.604746168074772e-50,4.5843532558115967e-48,***,True,True,2.4521556886227547,3,3,1.0,True,0.46107784431137727,-0.46107784431137727,0.9910778443113772,0.9910778443113772,0.8691976047904192,True,0.12188023952095806,2.008497005988024,True
M1_Attn_topk4,1,339,88,250,RAIR诱发最小容积(ml),ALL,339,17.2,10.0,0.0,30.0,30.0,低,0.044,3.762504995577905e-43,5.794257693189974e-41,***,True,True,2.3773333333333335,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7106666666666667,0.7336666666666667,0.7256666666666667,False,0.0,0.666,False
M1_Attn_topk4,2,404,186,218,RAIR诱发最小容积(ml),ALL,404,18.19,10.0,0.0,30.0,30.0,低,0.067,1.5936566048259158e-42,2.406421473287132e-40,***,True,True,2.400333333333333,3,3,1.0,True,0.6666666666666666,-0.6666666666666666,0.7336666666666667,0.7336666666666667,0.7256666666666667,True,0.008000000000000007,1.5085000000000002,True
M1_Attn_topk4,2,404,186,218,肛门括约肌长度(cm),F,218,2.52,2.35,2.7,5.1,3.9,低,0.596,5.919324199779512e-28,7.221575523731005e-26,***,True,True,2.390871794871795,3,3,1.0,True,0.3974358974358974,-0.3974358974358974,0.9934358974358974,1.4393846153846153,1.1535384615384614,False,0.0,1.090153846153846,False
M1_Attn_topk4,2,404,186,218,初始便意阈值(ml),ALL,403,65.73,60.0,57.0,196.0,126.5,低,0.226,4.297543702215217e-68,8.380210219319673e-66,***,True,True,2.2773833992094863,3,3,1.0,True,0.525691699604743,-0.525691699604743,0.751691699604743,0.782691699604743,0.755691699604743,False,0.0,0.7275375494071145,False
M1_Attn_topk4,2,404,186,218,排便窘迫感阈值(ml),ALL,402,111.92,100.0,93.0,241.0,167.0,低,0.468,1.488265341773148e-54,2.7681735356980557e-52,***,True,True,2.2703952095808386,3,3,1.0,True,0.40119760479041916,-0.40119760479041916,0.8691976047904192,0.9910778443113772,0.8691976047904192,False,0.0,0.9037964071856287,False
