版本,Cluster,Cluster总样本数,Cluster男性样本数,Cluster女性样本数,指标,性别亚组,n,均值,中位数,参考下限,参考上限,参考中心,偏离方向,异常比例,p_raw,p_adj,显著性,显著
M1_Attn_topk4,0,324,142,182,肛门括约肌静息压(mmHg),M,142,59.62,58.4,59.0,115.0,87.0,低,0.535,7.044403147114698e-22,7.114847178585845e-20,***,True
M1_Attn_topk4,0,324,142,182,肛门括约肌静息压(mmHg),F,182,57.78,55.1,47.0,101.0,74.0,低,0.346,5.80548822269116e-18,5.45715892932969e-16,***,True
M1_Attn_topk4,0,324,142,182,最大缩榨压MSP（mmHg）,M,142,128.58,118.25,91.0,170.0,130.5,低,0.408,0.07361223587795931,0.6194692610450971,ns,False
M1_Attn_topk4,0,324,142,182,最大缩榨压MSP（mmHg）,F,182,94.93,92.85,61.0,140.0,100.5,低,0.242,0.0024794698284422234,0.05454833622572892,ns,False
M1_Attn_topk4,0,324,142,182,最大容量感觉阈值(ml),ALL,318,163.95,157.5,155.0,309.0,232.0,低,0.5,1.325718697280465e-43,2.0548639807847207e-41,***,True
M1_Attn_topk4,0,324,142,182,肛门括约肌长度(cm),M,142,2.6,2.45,3.4,5.9,4.65,低,0.697,1.8716083292644133e-23,2.0587691621908546e-21,***,True
M1_Attn_topk4,0,324,142,182,肛门括约肌长度(cm),F,182,2.28,2.1,2.7,5.1,3.9,低,0.692,5.226565530081043e-29,6.428675601999683e-27,***,True
M1_Attn_topk4,0,324,142,182,缩肛持续时间(s),ALL,324,12.88,13.3,12.2,14.4,13.3,等于参考中心,0.503,0.008652864039105587,0.1352381355811219,ns,False
M1_Attn_topk4,0,324,142,182,排便时直肠压力(mmHg),ALL,324,46.07,41.5,45.0,inf,45.0,低,0.552,0.23038834097434635,1.0,ns,False
M1_Attn_topk4,0,324,142,182,RAIR诱发最小容积(ml),ALL,324,17.48,10.0,0.0,30.0,30.0,低,0.059,9.316860241409704e-38,1.2111918313832615e-35,***,True
M1_Attn_topk4,0,324,142,182,初始感觉阈值(ml),ALL,320,35.94,30.0,0.0,30.0,30.0,等于参考中心,0.334,7.004676845691106e-10,4.9032737919837744e-08,***,True
M1_Attn_topk4,0,324,142,182,初始便意阈值(ml),ALL,323,68.13,60.0,57.0,196.0,126.5,低,0.257,9.259027732702813e-53,1.6666249918865062e-50,***,True
M1_Attn_topk4,0,324,142,182,排便窘迫感阈值(ml),ALL,323,112.26,100.0,93.0,241.0,167.0,低,0.409,1.892627875979907e-45,3.028204601567851e-43,***,True
M1_Attn_topk4,1,339,88,250,肛门括约肌静息压(mmHg),M,88,37.47,37.3,59.0,115.0,87.0,低,0.852,3.730926575035014e-16,3.432452449032213e-14,***,True
M1_Attn_topk4,1,339,88,250,肛门括约肌静息压(mmHg),F,250,37.43,35.6,47.0,101.0,74.0,低,0.7,1.1131613509207232e-41,1.6029523453258415e-39,***,True
M1_Attn_topk4,1,339,88,250,最大缩榨压MSP（mmHg）,M,88,92.88,86.75,91.0,170.0,130.5,低,0.625,1.7627047458541463e-08,1.1457580848051951e-06,***,True
M1_Attn_topk4,1,339,88,250,最大缩榨压MSP（mmHg）,F,250,75.26,71.15,61.0,140.0,100.5,低,0.424,5.428521508856636e-21,5.319951078679504e-19,***,True
M1_Attn_topk4,1,339,88,250,最大容量感觉阈值(ml),ALL,332,151.23,150.0,155.0,309.0,232.0,低,0.593,1.660932796650701e-51,2.956460378038248e-49,***,True
M1_Attn_topk4,1,339,88,250,肛门括约肌长度(cm),M,88,2.04,1.7,3.4,5.9,4.65,低,0.83,6.668894360030575e-16,6.002004924027518e-14,***,True
M1_Attn_topk4,1,339,88,250,肛门括约肌长度(cm),F,250,1.79,1.5,2.7,5.1,3.9,低,0.824,8.74554611050109e-42,1.2681041860226582e-39,***,True
M1_Attn_topk4,1,339,88,250,缩肛持续时间(s),ALL,339,12.43,12.8,12.2,14.4,13.3,低,0.605,7.811873012216622e-11,5.858904759162466e-09,***,True
M1_Attn_topk4,1,339,88,250,排便时直肠压力(mmHg),ALL,339,42.48,37.6,45.0,inf,45.0,低,0.652,9.414790696054286e-06,0.0003685974400567188,***,True
M1_Attn_topk4,1,339,88,250,RAIR诱发最小容积(ml),ALL,339,17.2,10.0,0.0,30.0,30.0,低,0.044,3.762504995577905e-43,5.794257693189974e-41,***,True
