"Path","LineNumber","Line"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","747","    protocol_topk_details = safe_list(representation.get(""protocol_topk_details""))"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","752","        st.caption(protocol_contrib.get(""message"", ""当前患者页暂未接入协议级 attention 贡献明细。""))"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","766","    if protocol_topk_details and not is_patient_user:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","768","            df_topk = pd.DataFrame(protocol_topk_details)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","769","            show_cols = [c for c in [""protocol"", ""rank"", ""filename"", ""score"", ""weight""] if c in df_topk.columns]"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","770","            if not df_topk.empty and show_cols:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","771","                if ""score"" in df_topk.columns:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","772","                    df_topk[""score""] = df_topk[""score""].apply(lambda x: fmt_number(x, 3))"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","773","                if ""weight"" in df_topk.columns:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","774","                    df_topk[""weight""] = df_topk[""weight""].apply(lambda x: fmt_number(x, 3))"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","775","                st.dataframe(df_topk[show_cols], use_container_width=True, hide_index=True)"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\patient.py","778","    elif not protocol_topk_details:"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\upload_inference.py","26","    f""基于 DINOv2 + 协议内 attention pooling + 现有 consensus cluster 原型映射的在线推理｜当前用户：{user.get('username', '-')}"""
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\upload_inference.py","241","        st.markdown(""**协议内 attention 明细**"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\upload_inference.py","242","        detail_rows = result.get(""protocol_attention_details"", [])"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\app\pages\upload_inference.py","247","            st.write(""暂无 attention 明细。"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\config.py","13","DEFAULT_TOPK = 8"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\config.py","18","RAG_TOPK = 5"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\version_manager.py","312","        get_file_path(""consensus_labels"", ""M1_新公平_Attn_topk4"")"
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","199","def aggregate_patient_vector_attention("
"C:\Users\Lenovo\Desktop\phenotyping_system-main\backend\api\inference.py","204","    topk: int = 8,"
